source,title,company,location,posted,job_type,remote,salary,job_link,company_link,skills,match_score,matched_skills,missing_skills,why_recommended
Global,Senior Manager- Financial Accounting and Advisory Services- FSO Banking- Assurance,EY,"Toronto, ON, CA","May 03, 2026",Job type not listed,Remote status not listed,Salary not listed,https://ca.indeed.com/viewjob?jk=96ba73d47c9d2d76,https://www.ey.com,,55,Api,"Excel, Rag",This role is recommended because your resume shows alignment with Api.
Global,Patient Experience Tech Innovation Engineer,Sanofi,"Toronto, ON, CA","May 02, 2026",Job type not listed,Remote,Salary not listed,https://ca.indeed.com/viewjob?jk=5a8333b5eca1f5c4,https://www.sanofi.com/fr,,66,"Api, Aws, Cloud, Llm, Machine Learning, Mlops","Genai, Git, Rag","This role is recommended because your resume shows alignment with Api, Aws, Cloud, Llm."
Global,Associate Creative Director (Art Direction),McCann Worldgroup,"Toronto, ON, CA","May 02, 2026",fulltime,Remote status not listed,Salary not listed,https://ca.indeed.com/viewjob?jk=8a432fdac358e9eb,https://www.mccannworldgroup.com,,35,,Excel,"This role may still be relevant based on the job title and search keywords, but the job data did not expose many clear matching skills."
Global,Associate Creative Director (Copy),McCann Worldgroup,"Toronto, ON, CA","May 02, 2026",fulltime,Remote status not listed,Salary not listed,https://ca.indeed.com/viewjob?jk=7487cf8ccfa8dd39,https://www.mccannworldgroup.com,,35,,"Excel, Git","This role may still be relevant based on the job title and search keywords, but the job data did not expose many clear matching skills."
Global,Senior Software Engineer,,"Vaughan, ON, CA","May 02, 2026",fulltime,Remote,Salary not listed,https://ca.indeed.com/viewjob?jk=004ec12fd46df14e,https://ca.indeed.comNone,,55,"Airflow, Api, Aws, Cloud, Data Pipeline, Docker, Llm, Python","Azure, Etl, Gcp, Git, Github, Kubernetes, Mongodb, Mysql","This role is recommended because your resume shows alignment with Airflow, Api, Aws, Cloud."
Global,"Sr Manager, Professional Services Cloud Architecture, AWS Professional Services",Amazon Web Services,"Toronto, ON, CA","May 01, 2026",fulltime,Remote status not listed,Salary not listed,https://ca.indeed.com/viewjob?jk=e91f7483f440607a,https://aws.amazon.com/careers/why-aws/,,60,"Aws, Cloud, Data Analysis","Excel, Rag","This role is recommended because your resume shows alignment with Aws, Cloud, Data Analysis."
Global,"Représentant commercial bilingue — Cloud | Bilingual Cloud Sales Representative, CSC",Amazon Web Services,"Toronto, ON, CA","Apr 22, 2026",fulltime,Remote status not listed,Salary not listed,https://ca.indeed.com/viewjob?jk=15b3ee1baeb9ed10,https://aws.amazon.com/careers/why-aws/,,66,"Aws, Cloud",Rag,"This role is recommended because your resume shows alignment with Aws, Cloud."
Global,"Sr. Partner Sales Manager, GSI/SI and ISV partners",Amazon Web Services,"Toronto, ON, CA","Apr 22, 2026",fulltime,Remote status not listed,Salary not listed,https://ca.indeed.com/viewjob?jk=2a49311278b0d215,https://aws.amazon.com/careers/why-aws/,,55,"Aws, Cloud","Generative Ai, Rag","This role is recommended because your resume shows alignment with Aws, Cloud."
Global,"Account Executive, Public Sector (Greenfield)",Amazon Web Services,"Toronto, ON, CA","Apr 07, 2026",fulltime,Remote status not listed,Salary not listed,https://ca.indeed.com/viewjob?jk=d59ae0e21959ec1f,https://aws.amazon.com/careers/why-aws/,,55,"Aws, Cloud","Data Science, Rag","This role is recommended because your resume shows alignment with Aws, Cloud."
Global,"Représentant de génération de la demande | Demand Generation Rep, Cloud Sales Center (CSC)",Amazon Web Services,"Toronto, ON, CA","Mar 24, 2026",fulltime,Remote status not listed,Salary not listed,https://ca.indeed.com/viewjob?jk=4d7a75be79925f84,https://aws.amazon.com/careers/why-aws/,,75,"Api, Aws, Cloud",Rag,"This role is recommended because your resume shows alignment with Api, Aws, Cloud."
